,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,iters
20,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.3888888888888889,0.49022912424414206,90,0.2876065025020932,0.4901712752756846,1.0
21,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.5222222222222223,0.5023043031706679,90,0.41844507802271647,0.625999366421728,2.0
22,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.45555555555555555,0.5008108282005755,90,0.35208696648160076,0.5590241446295103,3.0
23,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.45555555555555555,0.5008108282005755,90,0.35208696648160076,0.5590241446295103,4.0
24,FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.4,0.4926424963535759,90,0.2982190057696583,0.5017809942303417,5.0
45,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.5333333333333333,0.5016825622427263,90,0.4296846421403545,0.6369820245263121,1.0
46,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.4222222222222222,0.4966806171531967,90,0.3196069435912253,0.5248375008532191,2.0
47,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.4666666666666667,0.5016825622427264,90,0.36301797547368786,0.5703153578596455,3.0
48,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103,4.0
49,FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.43333333333333335,0.49831175657571336,90,0.33038105780624877,0.536285608860418,5.0
52,FANToM,AnswerabilityQ_List,Mixed-A Reflection T5,Reflection,Mixed,0.4,0.49264249635357593,90,0.2982190057696583,0.5017809942303417,5.0
54,FANToM,AnswerabilityQ_List,Mixed-B Reflection T5,Reflection,Mixed,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836,5.0
75,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.5132978723404256,0.5004891224613452,376,0.4627087911264766,0.5638869535543746,1.0
76,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.5053191489361702,0.5006378909674541,376,0.45471503030841975,0.5559232675639207,2.0
77,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.5212765957446809,0.5002127207073475,376,0.47071545302160644,0.5718377384677553,3.0
78,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.5186170212765957,0.5003190471450895,376,0.4680451311535225,0.5691889113996689,4.0
79,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.523936170212766,0.5000921900825488,376,0.47338721063872125,0.5744851297868107,5.0
100,FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.8191489361702128,0.3854075856702857,376,0.7801922140819082,0.8581056582585174,1.0
101,FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.7659574468085106,0.4239630654326667,376,0.7231035645035172,0.8088113291135041,2.0
102,FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.7925531914893617,0.40601855109069496,376,0.7515131278122865,0.8335932551664368,3.0
103,FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.7952127659574468,0.4040837635234337,376,0.754368269218751,0.8360572626961427,4.0
104,FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.8058510638297872,0.39607113051260356,376,0.7658164782838243,0.8458856493757502,5.0
107,FANToM,AnswerabilityQs_Binary,Mixed-A Reflection T5,Reflection,Mixed,0.5478723404255319,0.4983661247780001,376,0.4974978502933863,0.5982468305576776,5.0
109,FANToM,AnswerabilityQs_Binary,Mixed-B Reflection T5,Reflection,Mixed,0.8058510638297872,0.3960711305126035,376,0.7658164782838243,0.8458856493757502,5.0
130,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.2857142857142857,0.4547163041867237,77,0.18414761069888408,0.3872809607296873,1.0
131,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.2727272727272727,0.44828220776542427,77,0.17259773505272072,0.3728568104018247,2.0
132,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.24675324675324675,0.43394894666502914,77,0.14982522540588794,0.34368126810060556,3.0
133,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.2987012987012987,0.4606898450017809,77,0.19580035730251044,0.40160224010008694,4.0
134,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.3116883116883117,0.4662205334202241,77,0.20755202062636996,0.4158246027502534,5.0
155,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.42857142857142855,0.4981167541368987,77,0.3173107105779649,0.5398321465648922,1.0
156,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264,2.0
157,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264,3.0
158,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.4025974025974026,0.4936368860370167,77,0.2923373201721453,0.5128574850226599,4.0
159,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.4025974025974026,0.4936368860370168,77,0.2923373201721453,0.5128574850226599,5.0
162,FANToM,BeliefQ_Choice_First_Order,Mixed-A Reflection T5,Reflection,Mixed,0.3116883116883117,0.4662205334202242,77,0.20755202062636996,0.4158246027502534,5.0
164,FANToM,BeliefQ_Choice_First_Order,Mixed-B Reflection T5,Reflection,Mixed,0.38961038961038963,0.4908597225878863,77,0.2799706219944,0.4992501572263793,5.0
185,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.5,0.5099019513592785,26,0.30399999999999994,0.6960000000000001,1.0
186,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.2692307692307692,0.4523443208612048,26,0.09535521011111722,0.4431063283504212,2.0
187,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.38461538461538464,0.4961389383568338,26,0.19390571649446084,0.5753250527363084,3.0
188,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.5384615384615384,0.508391127441794,26,0.3430422804787783,0.7338807964442986,4.0
189,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,5.0
210,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.38461538461538464,0.4961389383568338,26,0.19390571649446084,0.5753250527363084,1.0
211,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,2.0
212,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.34615384615384615,0.4851645240375839,26,0.15966260708744734,0.5326450852202449,3.0
213,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.46153846153846156,0.508391127441794,26,0.26611920355570146,0.6569577195212217,4.0
214,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.38461538461538464,0.4961389383568338,26,0.19390571649446084,0.5753250527363084,5.0
217,FANToM,BeliefQ_Choice_Second_Order_Acyclic,Mixed-A Reflection T5,Reflection,Mixed,0.34615384615384615,0.4851645240375839,26,0.15966260708744734,0.5326450852202449,5.0
219,FANToM,BeliefQ_Choice_Second_Order_Acyclic,Mixed-B Reflection T5,Reflection,Mixed,0.38461538461538464,0.4961389383568338,26,0.19390571649446084,0.5753250527363084,5.0
240,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.5555555555555556,0.5063696835418334,27,0.36455180912869145,0.7465593019824197,1.0
241,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.48148148148148145,0.5091750772173155,27,0.28941953445605195,0.673543428506911,2.0
242,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.4444444444444444,0.5063696835418333,27,0.2534406980175803,0.6354481908713085,3.0
243,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.5555555555555556,0.5063696835418333,27,0.36455180912869145,0.7465593019824197,4.0
244,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.6296296296296297,0.4921028776234114,27,0.4440073534379172,0.8152519058213421,5.0
265,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.48148148148148145,0.5091750772173155,27,0.28941953445605195,0.673543428506911,1.0
266,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.5185185185185185,0.5091750772173155,27,0.326456571493089,0.710580465543948,2.0
267,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,3.0
268,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.4444444444444444,0.5063696835418333,27,0.2534406980175803,0.6354481908713085,4.0
269,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.4074074074074074,0.5007117441325406,27,0.21853784803667223,0.5962769667781426,5.0
272,FANToM,BeliefQ_Choice_Second_Order_Cyclic,Mixed-A Reflection T5,Reflection,Mixed,0.4444444444444444,0.5063696835418333,27,0.2534406980175803,0.6354481908713085,5.0
274,FANToM,BeliefQ_Choice_Second_Order_Cyclic,Mixed-B Reflection T5,Reflection,Mixed,0.5185185185185185,0.5091750772173155,27,0.326456571493089,0.710580465543948,5.0
295,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.09090909090909091,0.28936492084609694,77,0.026275752262926236,0.1555424295552556,1.0
296,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.1038961038961039,0.30712656333452054,77,0.03529547629691175,0.17249673149529604,2.0
297,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.12987012987012986,0.33836485099003594,77,0.05429203306402204,0.2054482266762377,3.0
298,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.09090909090909091,0.28936492084609694,77,0.026275752262926236,0.1555424295552556,4.0
299,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.1038961038961039,0.3071265633345206,77,0.03529547629691174,0.17249673149529607,5.0
320,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.24675324675324675,0.4339489466650291,77,0.14982522540588794,0.34368126810060556,1.0
321,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.2077922077922078,0.4083877909943188,77,0.11657359595385802,0.2990108196305576,2.0
322,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.2597402597402597,0.44136741475237473,77,0.16115522910952548,0.3583252903709939,3.0
323,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.18181818181818182,0.38822377998943125,77,0.09510345852282877,0.2685329051135349,4.0
324,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.18181818181818182,0.38822377998943125,77,0.09510345852282877,0.2685329051135349,5.0
327,FANToM,BeliefQ_Dist_First_Order,Mixed-A Reflection T5,Reflection,Mixed,0.14285714285714285,0.3522217346728334,77,0.06418393468428056,0.22153035103000512,5.0
329,FANToM,BeliefQ_Dist_First_Order,Mixed-B Reflection T5,Reflection,Mixed,0.24675324675324675,0.43394894666502914,77,0.14982522540588794,0.34368126810060556,5.0
350,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.22667635823840188,0.07700475364585394,77,0.2094763662517986,0.24387635022500515,1.0
351,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.2025491733545903,0.07336363414802036,77,0.18616247175877285,0.21893587495040776,2.0
352,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.18641429048032088,0.07027235190899264,77,0.17071806612418314,0.20211051483645862,3.0
353,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.18910453126922477,0.06545055954283413,77,0.17448531561881458,0.20372374691963496,4.0
354,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.17752410670322966,0.07038984057908466,77,0.16180163975701242,0.1932465736494469,5.0
375,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.23477654575561618,0.07317704691057778,77,0.2184315207945111,0.25112157071672125,1.0
376,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.20310758143366553,0.06387897472748355,77,0.18883939925781998,0.21737576360951108,2.0
377,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.20328257923285112,0.07492087580617014,77,0.18654804788921622,0.220017110576486,3.0
378,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.20483148340403326,0.07676510998068711,77,0.1876850188806755,0.221977947927391,4.0
379,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.19281730905388253,0.06450571180422317,77,0.17840913717367138,0.20722548093409368,5.0
382,FANToM,BeliefQ_Dist_First_Order_TokenF1,Mixed-A Reflection T5,Reflection,Mixed,0.18688953557750348,0.06668970109538572,77,0.17199354188723132,0.20178552926777565,5.0
384,FANToM,BeliefQ_Dist_First_Order_TokenF1,Mixed-B Reflection T5,Reflection,Mixed,0.17743179404332043,0.06055892752291268,77,0.16390518667435486,0.190958401412286,5.0
405,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.38461538461538464,0.49613893835683387,26,0.1939057164944608,0.5753250527363085,1.0
406,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.34615384615384615,0.4851645240375839,26,0.15966260708744734,0.5326450852202449,2.0
407,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.38461538461538464,0.4961389383568337,26,0.1939057164944609,0.5753250527363084,3.0
408,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,4.0
409,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.4230769230769231,0.503831473655779,26,0.22941033958320264,0.6167435065706435,5.0
430,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.5,0.5099019513592785,26,0.30399999999999994,0.6960000000000001,1.0
431,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.6153846153846154,0.49613893835683376,26,0.42467494726369165,0.8060942835055391,2.0
432,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.7307692307692307,0.45234432086120485,26,0.5568936716495787,0.9046447898888827,3.0
433,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.6538461538461539,0.48516452403758403,26,0.467354914779755,0.8403373929125527,4.0
434,FANToM,BeliefQ_Dist_Second_Order_Acyclic,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.6153846153846154,0.49613893835683387,26,0.4246749472636916,0.8060942835055392,5.0
437,FANToM,BeliefQ_Dist_Second_Order_Acyclic,Mixed-A Reflection T5,Reflection,Mixed,0.34615384615384615,0.4851645240375839,26,0.15966260708744734,0.5326450852202449,5.0
439,FANToM,BeliefQ_Dist_Second_Order_Acyclic,Mixed-B Reflection T5,Reflection,Mixed,0.7307692307692307,0.45234432086120485,26,0.5568936716495787,0.9046447898888827,5.0
460,FANToM,BeliefQ_Dist_Second_Order_Acyclic_TokenF1,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.17158250380592946,0.05846044558755769,26,0.14911103197763714,0.19405397563422178,1.0
461,FANToM,BeliefQ_Dist_Second_Order_Acyclic_TokenF1,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.154658783166507,0.05102031794224003,26,0.1350472043325342,0.1742703620004798,2.0
462,FANToM,BeliefQ_Dist_Second_Order_Acyclic_TokenF1,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.15264062756250113,0.040777879842858106,26,0.13696611518243637,0.1683151399425659,3.0
463,FANToM,BeliefQ_Dist_Second_Order_Acyclic_TokenF1,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.1559651324410724,0.04576386342513557,26,0.138374069674171,0.1735561952079738,4.0
464,FANToM,BeliefQ_Dist_Second_Order_Acyclic_TokenF1,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.1423050208887785,0.03405081319615275,26,0.12921630967938866,0.15539373209816834,5.0
485,FANToM,BeliefQ_Dist_Second_Order_Acyclic_TokenF1,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.17761887399828488,0.05150401369264948,26,0.15782136850365208,0.19741637949291768,1.0
486,FANToM,BeliefQ_Dist_Second_Order_Acyclic_TokenF1,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.16506650400730905,0.05761722054355337,26,0.14291915745091316,0.18721385056370493,2.0
